Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Element Code,Element,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","643","Russian Federation","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","108.7633","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","109.1984","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","109.8754","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","110.4138","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","110.2813","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","110.7445","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","110.2794","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","109.7169","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","109.5853","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","110.2647","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","111.5658","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","113.8306","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","115.4584","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","116.5437","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","117.243","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","117.8057","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","118.3594","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","117.6256","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","117.1904","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","115.8661","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","115.1709","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","115.4243","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","116.036","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","116.9295","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","117.8533","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","118.6311","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","119.936","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","122.4067","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","122.5781","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","122.7742","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","122.6392","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","121.425","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","120.7572","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","121.6508","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","123.6337","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","125.9086","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","127.3187","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","129.1394","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","130.2887","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","131.4353","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","132.8154","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","133.7716","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","132.9021","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","132.0117","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","133.5562","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","136.9886","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","139.0023","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","141.2125","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2022","2022","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","143.4577","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2022","2022","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","145.9539","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2022","2022","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","156.529373","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2022","2022","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","161.229584","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2022","2022","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","162.033567","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2022","2022","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","159.807152","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2022","2022","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","156.776753","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2022","2022","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","154.179268","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2022","2022","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","153.43713","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2022","2022","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","153.931889","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2022","2022","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","154.735872","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2022","2022","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","155.84908","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2023","2023","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","158.199185","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2023","2023","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","159.621617","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2023","2023","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","159.745307","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2023","2023","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","160.240066","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2023","2023","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","159.497927","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2023","2023","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","159.374237","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2023","2023","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","160.301911","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2023","2023","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","160.054531","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2023","2023","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","161.600653","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2023","2023","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","163.950758","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2023","2023","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","166.857467","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2023","2023","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","169.702331","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2024","2024","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","172.114281","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2024","2024","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","173.413024","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2024","2024","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","173.536713","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2024","2024","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","174.278852","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2024","2024","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","174.959145","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2024","2024","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","176.010508","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2024","2024","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","176.443422","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2024","2024","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","176.257888","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2024","2024","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","176.690802","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2024","2024","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","179.040907","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2024","2024","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","183.864807","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2024","2024","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","189.307156","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2025","2025","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","191.657261","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2025","2025","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","193.883676","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2025","2025","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","195.306109","X","Figure from external organization","base year is 2015"
